node,touch,hash,blksize,xthinsize,compression,ip_port,peerid,bloomsize,bloomtime,blktype,proctime,reqtime,rectime,propagationtime_computed,propagationtime
frank,2017-10-24 21:34:16,0000000005c343603eecd8432e36c4699e8dac656994d8fc8d8df0ff73251b9c,1422437,30368,46.84,2.37.183.149:40166,20,11097,6,xthinblock,0.29,2017-10-24 21:34:15,2017-10-24 21:34:16,1,0.57
frank,2017-10-24 21:34:47,00000000899d1811c20d5a601114ea932ace3961ca18ae24b92d4508ebe0ae52,142854,4640,30.79,2.37.183.149:40166,20,2063,1,xthinblock,0.04,2017-10-24 21:34:47,2017-10-24 21:34:47,0,0.05
frank,2017-10-24 21:57:20,0000000056b6532bdb3026f36eb83964bdec3f25c395d1e6ae557858b53b0c1b,12432,430,28.91,2.37.183.149:40166,20,796,1,xthinblock,0.01,2017-10-24 21:57:20,2017-10-24 21:57:20,0,0.03
frank,2017-10-24 22:05:23,00000000d26f577e2473b04a7ee792efc56955e48be8b1e7f0642f28d442958c,78988,2655,29.75,159.203.35.131:60820,18,740,1,xthinblock,0.02,2017-10-24 22:05:23,2017-10-24 22:05:23,0,0.12
frank,2017-10-24 22:18:10,00000000c248d8f46eacb194bfb782563fd350eb2408d89eaeb3e5bbf5b3931c,118618,3872,30.63,2.37.183.149:40166,20,1178,2,xthinblock,0.03,2017-10-24 22:18:10,2017-10-24 22:18:10,0,0.07
frank,2017-10-24 22:56:25,000000000bc6c90d65158aaf5678fc36a1eb884b46438c38156b73011f31a697,56181852,46008536,1.22,159.203.35.131:60820,18,113277,64,xthinblock,21.24,2017-10-24 22:55:48,2017-10-24 22:56:20,32,42.25
frank,2017-10-25 01:15:00,00000000bc8ff26a85c0e2d0909154186bf9cbc9c93487c615f23c59c322a6de,13274025,274214,48.41,173.212.243.103:52120,32,81791,61,xthinblock,3.69,2017-10-25 01:14:59,2017-10-25 01:15:00,1,2.11
frank,2017-10-25 03:33:56,000000006b3eb2ca371c794eb62f62938e064c4ca90a939afc678866aee15622,1175750,24294,48.40,173.212.243.103:52120,32,11270,8,xthinblock,0.31,2017-10-25 03:33:56,2017-10-25 03:33:56,0,0.33
frank,2017-10-25 03:54:02,00000000de177c04187b449bba93b81262c626543d3f8e90fc8a3bb12fdeda4e,102680,3392,30.27,2.37.183.149:40290,26,5220,3,xthinblock,0.03,2017-10-25 03:54:02,2017-10-25 03:54:02,0,0.08
frank,2017-10-25 04:31:38,00000000eb5dc51350eb61f498f5fb203540fc51a9d1801b0149c7ad9adf9cc6,3490684,75238,46.40,104.236.143.136:43844,39,23433,23,xthinblock,0.83,2017-10-25 04:31:37,2017-10-25 04:31:38,1,1.90
frank,2017-10-25 04:38:47,000000002473db5dd11b6330cdebc49da2dc8e658bcf0f1a62d61044bac8360d,73248,1860,39.38,173.212.243.103:52120,32,487,0,xthinblock,0.02,2017-10-25 04:38:47,2017-10-25 04:38:47,0,0.04
frank,2017-10-25 05:22:23,000000003da21cd6df8fea8d14e6986e1eca7ac519f5ecadabec77aed3db1b09,1222312,27215,44.91,159.203.35.131:9333,34,7939,6,xthinblock,0.28,2017-10-25 05:22:22,2017-10-25 05:22:23,1,0.72
frank,2017-10-25 05:31:39,0000000047c55e0a87fb3fc3c22e0a90b14fcdc599cce004936b5f0d0b7ae5dd,400185,9055,44.19,159.203.35.131:9333,34,2574,3,xthinblock,0.11,2017-10-25 05:31:39,2017-10-25 05:31:39,0,0.20
frank,2017-10-25 06:18:31,00000000d138db0b0c2ff8c1c05a61b94c6849afa3f0b6c13e3774417dd6b31a,2243265,49760,45.08,2.37.183.149:40290,26,14388,12,xthinblock,0.67,2017-10-25 06:18:31,2017-10-25 06:18:31,0,0.58
frank,2017-10-25 06:48:32,00000000d53bd5f616d7ed079f744d59716b12d847fa8d442a5359aa763b8b6e,2872200,63656,45.12,2.37.183.149:40290,26,18362,15,xthinblock,0.83,2017-10-25 06:48:31,2017-10-25 06:48:32,1,0.73
frank,2017-10-25 06:52:15,000000009358f21030e38f3045fc1474dd5a330e59a86276cc5e9932a3fc7583,425220,9607,44.26,159.203.35.131:9333,34,3173,3,xthinblock,0.10,2017-10-25 06:52:15,2017-10-25 06:52:15,0,0.20
frank,2017-10-25 06:55:30,000000001f5b8a35e5857d79f644de083fc355dac183e8daae28aa46289cf597,457482,10310,44.37,173.212.243.103:52120,32,3038,3,xthinblock,0.11,2017-10-25 06:55:30,2017-10-25 06:55:30,0,0.15
frank,2017-10-25 07:03:00,000000009b4ce1add8e09396a171d50bd8bef78d75b51e8d3f85883a23e70bca,975741,21767,44.83,159.203.35.131:9333,34,6427,5,xthinblock,0.23,2017-10-25 07:02:59,2017-10-25 07:02:59,0,0.46
frank,2017-10-25 07:05:24,000000004d48982634b92744f4eb71da41a27547349ee5c6ac02410cd5436646,342079,7750,44.14,173.212.243.103:52120,32,2483,2,xthinblock,0.08,2017-10-25 07:05:24,2017-10-25 07:05:24,0,0.12
